"channel_name","location","channel_id","lat_long2","no_videos","wordcount"
"FultonGovernmentTV","Atlanta, Georgia","UCYH7E0jH6HxE-3KTRluH8SQ","(33.7513931, -84.3913883)",58,170419
"MAofSC","Columbia, South Carolina","UCy9fEYosYMZ8hHNjC5Ckcgw","(34.0027059, -81.0298034)",75,21808
"City of Dublin, CA","Dublin, California","UCVxFLCImmHgKXs9RQkY6OkA","(37.7021521, -121.9357918)",6,3475
"Exeter, Rhode Island","Exeter, Rhode Island","UC_0OoUlSPYRpwmRMpQ8-sCw","(41.5750676, -71.5351476)",18,244307
"City of Beresford, South Dakota","Beresford, South Dakota","UCPY5tEeuWxpKG4zHoSzAPVg","(43.0805446, -96.77365499999999)",3,8959
"GOCC WISCONSIN","Wisconsin, US","UCltp6NRcZoNXtHllH8VOMYQ","(43.7844397, -88.7878678)",1,18932
"Official City of Stonecrest Georgia","Lithonia, Georgia","UCp3rYzHzhZvd9Y7Ruf1O6kg","(33.6904766, -84.0838805)",11,126699
"CityofPalmdale","Palmdale, California","UCJHoqIwLNDlVFu7vZEJNkdA","(34.5794343, -118.1164613)",2,6639
"Larimer County Government","Fort Collins, Colorado","UCTZ-neESjN8BeV_MKQEc5Uw","(40.5865084, -105.0797411)",1,4761
"Long Branch","Long Branch, New Jersey","UCazWLOC-aO4snD-76P7IhbA","(40.30427780000001, -73.9923596)",14,85253
"Ally Miller, Pima County District 1 Supervisor","Tucson, Arizona","UC79IZA1RmoYaLOFWLbqY2fQ","(32.221975, -110.9736346)",283,588503
"Town of Old Saybrook Video Library","Old Saybrook, Connecticut","UCwq-kallXEqCHOy9C35r34A","(41.2902388, -72.3744107)",180,1289203
"Erie County, Pennsylvania - Government","Erie, Pennsylvania","UCDEhxGyYjgZkYrLb-NGeq2g","(42.1291683, -80.0879985)",60,316021
"Vidalia Louisiana","Vidalia, Louisiana","UCa6cbVaGERmEA6WGt33z-dg","(31.5654441, -91.4259495)",73,254337
"LawrenceburgIN","Lawrenceburg, Indiana","UCQ2JDPkIH-LfT_WRhvrYOMA","(39.090891, -84.8499504)",106,736485
"CITY OF HOLLYWOOD PARK","Hollywood Park, Texas","UCZnWXeNy5xRZUYFGT86lPMA","(29.6005047, -98.48724)",10,70643
"McDowell County Government - North Carolina","Marion, North Carolina","UC0mTfn8VlbzCAPoS4ypHSbQ","(35.6839474, -82.0082269)",31,337074
"Wake County","Wake County, North Carolina","UCJWIhzcE0ZVmh3kcZSj7gDA","(35.8031909, -78.5660852)",13,26811
"City of Newport RI","Newport, Rhode Island","UCQEXfLzrNpxe7AZme3dTP0w","(41.4901024, -71.3128285)",6,30463
"Piedmont West Virginia Info Network","Piedmont, West Virginia","UCAzc8Mv9NyzjOG2xD1KZFEg","(39.4824455, -79.04717529999999)",26,125534
"NH Municipal Association","Concord, New Hampshire","UCJAJA0rcyK-nviBQyZbDSRw","(43.2191404, -71.4880368)",1,8336
"Sun City AZ","Sun City, Arizona","UCdLy0Uy9sKWCJNLz37tn5ug","(33.5975393, -112.2718239)",17,100024
"Rappahannock News","Washington, Virginia","UCfrlkifp1NKxUnONQi4IFqA","(38.7125007, -78.15999029999999)",49,521941
"Mendocino County Video","Mendocino, California","UCSYcX7uSxr-GyRh20JtuwFg","(39.2917155, -123.7544678)",72,720271
"City of Kitttitas WA 98934","Kittitas, Washington","UCEzXaxmyxepL5x1y2Y6c3Mw","(46.9802702, -120.416799)",2,6474
"City of San Diego","San Diego, California","UCCd4neYX0bX9UEYKJZsgpBw","(32.715738, -117.1610838)",1,6299
"Greenwood Indiana","Greenwood, Indiana","UC60y34F88H1zvYh0sg3AdTg","(39.6136578, -86.10665259999999)",8,47707
"Walton County Georgia Government","Monroe, Georgia","UCj0GzvDmT3kXYcl731gQhZQ","(33.7972101, -83.6962483)",14,14968
"Westchester County Government New York","White Plains, New York","UCOE0wn9vJwY2TcgJNBIpIDA","(41.0294391, -73.76753719999999)",5,4183
"Troy Ohio Videos","Troy, Ohio","UCNnrSMWnG45jXoMSlwVFSNg","(39.9872837, -84.20216940000002)",388,1008222
"CityofAikenSC","Aiken, South Carolina","UCHtMErIZ0_lu5v3kJAzPitg","(33.5604168, -81.7195533)",50,324073
"Governor Asa Hutchinson","Little Rock, Arkansas","UCLJcNdgp2PMEmiqJEoYzqwQ","(34.7469468, -92.2889342)",196,355118
"City of Cortland, Ohio","Cortland, Ohio","UC4Mu0kFfL3Cei3ZOZc5Zyeg","(41.3303342, -80.7253575)",44,142153
"City of Whitehall, Ohio","Whitehall, Ohio","UCvjez8n5YvwKfEZ-2RX9fkg","(39.9667308, -82.8854559)",50,252578
"New York City Council Member Laurie A. Cumbo","New York, New York","UCxBVCe2yzB9z24oMA6WovEw","(40.7872584, -73.971346)",20,4509
"LCDC Maine","Lincoln County, Maine","UCXdIEZfDNG_QgJOAmCtWn8Q","(44.108282, -69.511031)",19,1664
"Maryland Business for Responsive Government","Columbia, Maryland","UC9-lxdBwbGwCMl2Nci9x04A","(39.197507, -76.853346)",3,10428
"City of Dearborn Heights, MI","Dearborn Heights, Michigan","UCRdsv07DxBTF5ZWgiqXPcKw","(42.3369816, -83.27326269999999)",17,131080
"Coventry Meeting","Coventry, Rhode Island","UCJSTZH1geFoNt2VH2lHEGGg","(41.6993579, -71.54891099999999)",117,501130
"City of Beaumont - Government","Beaumont, Texas","UCnY6nNk8zfXZulMg1zbwEBg","(30.0818183, -94.0944202)",8,1735
"SB County Community Development & Housing Agency","Barstow, California","UCObCQpOZy4Z6zfG0pyKxPYQ","(34.875742, -117.0141083)",3,22254
"City of Iowa City Government","Iowa City, Iowa","UCxvLmwfHhFfaqHnQYrhncqA","(41.6604909, -91.52949319999999)",1,2510
"Salem County Government NJ","Salem, New Jersey","UCB_2qtc3DG7v5JbRq-7HZ-Q","(39.5870389, -75.4543516)",14,4787
"City of Franklin, VA","Franklin, Virginia","UCMmXa_L4o0ZgMpRDCZs1syA","(36.6776507, -76.9224608)",17,197918
"Westmoreland City Council Meetings","Westmoreland, Tennessee","UCgjmBbalmzDjqkZdJbS0AgQ","(36.561532, -86.24781000000002)",32,177924
"Humboldt County Iowa","Humboldt County, Iowa","UCZ6V3dlCIihapzhYTHjpCxw","(42.7482597, -94.19234000000002)",100,879517
"Catoosa County Government","Ringgold, Georgia","UC64XOfN6J-FoYWa8r3nsXzg","(34.9143911, -85.1120737)",1,5694
"Brookfield CT","Brookfield, Connecticut","UCe10fHPwRxmDQ9oxitmqn3g","(41.4825947, -73.4095652)",1,5039
"Pittsylvania County Virginia","Pittsylvania County, Virginia","UCBZbT6gifgJPXGq9Rt7z5lw","(36.7440186, -79.4703885)",52,422201
"Citizens4Integrity","South Dakota, US","UCsao3TFcldlkoBifyeanZ5g","(43.9695148, -99.9018131)",12,35830
"Town of Stafford Connecticut Government","Stafford Springs, Connecticut","UClrauDkq299UCkPjf4VTGrw","(41.9504823, -72.3080983)",4,21631
"City of Marion Illinois","Marion, Illinois","UCUKL9LxylG4TP8YgVSaSwjQ","(37.7306054, -88.9331256)",72,427950
"Logan County Oklahoma Local Government","Guthrie, Oklahoma","UCHO_-sm2MrhIrt8AivUhMvA","(35.8780672, -97.4275742)",19,58704
"Cumberland County PA - Commissioners","Carlisle, Pennsylvania","UCDuoEW_vCX40aemvNS9RnKw","(40.20116700000001, -77.188848)",185,870779
"City of Altoona, WI","Altoona, Wisconsin","UCLG1rb91nDPt2S5APItfccg","(44.8046825, -91.44321479999999)",8,6438
"HopeCity NC","Winston-Salem, North Carolina","UC2NXXKwoDujEJ38TJufBNTg","(36.0024462, -80.1493969)",143,497886
"City of Lennox South Dakota","Lennox, South Dakota","UCv3rb5ZDuUF4uFk6yzeJEmQ","(43.3541476, -96.8919951)",2,13907
"Wisconsin BBA Government","Madison, Wisconsin","UCM7ezxQo8FxzGRqalOuAXYw","(43.0727758, -89.4014904)",12,2625
"ClerkPBC","West Palm Beach, Florida","UCNvqLXX6GTxXT7Oh2ugk2Zw","(26.7152573, -80.0539668)",4,6764
"Newburgh Maine","Newburgh, Maine","UCiANGUnQ2sSa7SaV_sSW2Aw","(44.71736749999999, -69.0003898)",38,273389
"Huntsville AL Chamber","Huntsville, Alabama","UCAAaVq-FtTy8HOhVel2f8sQ","(34.732008, -86.58898599999999)",16,11685
"Helena Civic Television","Helena, Montana","UC9AloSLo5HpsRCpfnFo7fcQ","(46.60445199999999, -112.0225599)",52,194785
"JolietChamber","Joliet, Illinois","UCrw4xfNf3J6cLHhBT9MZONw","(41.525363, -88.08194300000001)",12,15202
"The Rappahannock Record","Kilmarnock, Virginia","UCLvUPpawpHiVisnCS6XAkqA","(37.7114492, -76.3808789)",11,41041
"montgomerycountymd","Montgomery County, Maryland","UC5NXwF1EDfbecNogLVlrALw","(39.1547426, -77.2405153)",50,70235
"Bernalillo County","Bernalillo County, New Mexico","UCAKt5BZwiEUsv7sfIuPVDFQ","(35.0177854, -106.6291304)",4,21904
"CityofTacoma","Tacoma, Washington","UCeE_KkLW1qXJvzHPt6jCquQ","(47.2528768, -122.4442906)",2,3545
"fultoncountybcbs","Atlanta, Georgia","UCwvUHaBlFXXlE56OIqw18bQ","(33.8477268, -84.36819779999999)",6,4666
"Woodland Park Colorado","Woodland Park, Colorado","UCeKKRfEM3cKxDB3yz19_eDQ","(38.9938808, -105.0569301)",133,1115208
"Spring Lake, NC","Spring Lake, North Carolina","UCm0CjxLmNE738zbbEDXqKbg","(35.1679395, -78.97280560000002)",2,3431
"City of La Marque, Texas","La Marque, Texas","UCxVsgw5xtGI61mjpnZIsq_A","(29.3685674, -94.9713134)",7,23339
"Minneapolis KS City Council","Minneapolis, Kansas","UCA6z63vmfvbdwJ2AYtXy05Q","(39.1231551, -97.7056365)",20,127008
"Lovington CityHall","Lovington, New Mexico","UClx_ZlWABOnJ8VIMCmNxUHQ","(32.9469039, -103.3474216)",2,12325
"CDL Boulder City, NV","Boulder City, Nevada","UCafmz4bssPAHklFxg7bYnGg","(35.976325, -114.849629)",4,15199
"Wilson County, TN - Government","Lebanon, Tennessee","UCJ0nj4kiFHnfPUlW4uySzww","(36.2131167, -86.28905320000001)",38,75738
"TheBurbankChannel","Burbank, California","UCNDlWLv3ZR1YlYRBxemNF3A","(34.1808392, -118.3089661)",1,6156
"Central County Water Control District","Clewiston, Florida","UCPO42Ece_pmdcQnrtDze-VA","(26.6227859, -81.0785101)",3,29192
"Iowa Government","Des Moines, Iowa","UCc0mFeh-UgNJJ8rckSDSeFw","(41.591247, -93.6009484)",7,7285
"Town of Hope Indiana","Hope, Indiana","UCP0V3YxQavE_NWKSYNw-7EQ","(39.3039397, -85.77137220000002)",2,20146
"MS Library Commission","Jackson, Mississippi","UCQ3sc0r86d2-cZ-NngizHRA","(32.3394965, -90.14696359999999)",13,4563
"North Beach MD Town Meetings","North Beach, Maryland","UC8Fpm9HJuO0ucbnCqp5H60w","(38.7048652, -76.53337619999999)",2,11860
"Peoria County, IL, Government","Peoria, Illinois","UC-qaAdj6tzIxqi3odzEoMlQ","(40.6929334, -89.5897553)",4,1031
"City of Huntington, WV","Huntington, West Virginia","UCIbOv9DiKt7s8KPLAjRwD8g","(38.4192496, -82.44515400000002)",5,7823
"Davie County Government North Carolina","Mocksville, North Carolina","UCAiN6jkUKjTwR9skwbCiX7g","(35.8936073, -80.5622214)",20,73224
"Arizona City Council Managers","Paradise Valley, Arizona","UCfETHSDPPzHUpTnt1v4ETSw","(33.5307551, -111.9425145)",1,18969
"Dermott, AR - City Council Meetings","Dermott, Arkansas","UCvnMypyvB77uiB3lQOM31WQ","(33.527622, -91.43401899999999)",6,18741
"City of Cuba, Missouri","Cuba, Missouri","UCh7i3_jSD81CUG2b4SsMRHw","(38.0628225, -91.40348329999999)",12,9340
"Town of Scottsville, Virginia","Scottsville, Virginia","UCaHK29YBXdB-aMl_b6e7rhA","(37.798754, -78.4955648)",2,9009
"Mississippi Department of Human Services","Jackson, Mississippi","UCyIAzmybt32v-YoYNYbDVHw","(32.2983727, -90.1860277)",5,2348
